lemma,placement_count,prior_status
tirage,4,clued
bénin,4,UNCLUED
tailler,4,clued
pairie,4,UNCLUED
poire,4,clued
roux,4,UNCLUED
nuancer,4,clued
égard,4,clued
crêpe,4,UNCLUED
étonner,4,clued
ravager,4,clued
induire,4,clued
briser,4,clued
ensuivre,4,UNCLUED
causer,4,clued
tutsi,4,UNCLUED
tenure,4,UNCLUED
tutti,4,clued
zona,4,UNCLUED
zone,4,clued
mime,4,clued
herse,4,UNCLUED
vomir,4,clued
utile,4,clued
palier,4,clued
seing,4,UNCLUED
natal,4,clued
réprimer,4,clued
leader,4,clued
idiot,4,clued
enfouir,4,clued
mite,4,clued
trait,4,clued
itinéraire,4,clued
mage,4,clued
abriter,4,clued
leste,4,clued
durer,4,clued
présenter,4,clued
croiser,4,clued
spinal,4,clued
trapu,4,clued
inégal,4,clued
repli,4,clued
mâle,4,clued
trans,4,clued
créole,4,clued
violer,4,clued
orgie,4,clued
priver,4,clued
base,4,clued
brut,4,clued
attarder,4,UNCLUED
abréger,4,clued
entendre,4,clued
opium,4,UNCLUED
mordre,4,clued
agha,4,clued
causa,4,clued
ricin,4,UNCLUED
teneur,4,clued
avenu,4,clued
bac,4,clued
élancer,4,clued
inouï,4,UNCLUED
privé,4,clued
audit,3,clued
tripler,3,clued
métier,3,clued
retentir,3,UNCLUED
chaise,3,clued
protester,3,UNCLUED
parade,3,UNCLUED
bep,3,UNCLUED
signaler,3,clued
larve,3,UNCLUED
néant,3,clued
travée,3,clued
accepter,3,clued
archi,3,clued
arche,3,clued
caméra,3,clued
feutre,3,clued
avenue,3,clued
pénétrer,3,UNCLUED
délit,3,clued
apprêt,3,clued
meurtrir,3,UNCLUED
drame,3,UNCLUED
émeute,3,clued
guano,3,clued
corsaire,3,UNCLUED
semis,3,UNCLUED
décri,3,clued
mensuel,3,clued
tibia,3,clued
parefeu,3,UNCLUED
label,3,clued
suif,3,clued
emplir,3,clued
grès,3,clued
présager,3,clued
nuque,3,UNCLUED
plan,3,clued
toucher,3,clued
cotiser,3,clued
maman,3,clued
foie,3,clued
foin,3,clued
améliorer,3,UNCLUED
rassurer,3,clued
étreindre,3,clued
décès,3,clued
dieu,3,clued
mille,3,UNCLUED
rance,3,UNCLUED
intéresser,3,clued
génial,3,clued
verre,3,clued
marais,3,clued
piètre,3,clued
viande,3,clued
quête,3,clued
velu,3,clued
place,3,clued
aplomb,3,clued
store,3,clued
chf,3,clued
trafic,3,clued
brunir,3,UNCLUED
océan,3,clued
aéronef,3,clued
cabinet,3,clued
smic,3,UNCLUED
avouer,3,clued
zinc,3,UNCLUED
plaie,3,clued
transe,3,clued
raya,3,UNCLUED
déposer,3,clued
carcan,3,clued
lancer,3,clued
cesse,3,clued
coca,3,UNCLUED
visage,3,clued
achever,3,clued
coin,3,clued
noix,3,clued
lice,3,UNCLUED
évader,3,clued
évaporer,3,clued
cola,3,clued
orienter,3,UNCLUED
heurt,3,clued
assimiler,3,clued
cône,3,clued
large,3,clued
aventurer,3,clued
ajuster,3,clued
nord,3,UNCLUED
macro,3,UNCLUED
tenace,3,clued
tamis,3,UNCLUED
ictère,3,clued
sabot,3,clued
buée,3,clued
avion,3,clued
doter,3,clued
dg,3,clued
gnose,3,clued
vérité,3,clued
emparer,3,clued
choisir,3,clued
déclarer,3,clued
peau,3,clued
gb,3,UNCLUED
jetée,3,UNCLUED
preux,3,clued
merle,3,UNCLUED
béant,3,clued
représenter,3,UNCLUED
coudre,3,clued
dorsal,3,clued
pj,3,clued
église,3,clued
banni,3,clued
ressaisir,3,clued
enseigner,3,clued
intro,3,clued
inerte,3,clued
rougir,3,clued
côtier,3,clued
écouter,3,clued
scrutin,3,clued
lave,3,clued
aplanir,3,clued
XV,3,clued
dessus,3,UNCLUED
trad,3,clued
entourer,3,clued
plèbe,3,clued
glass,3,UNCLUED
obus,3,UNCLUED
banal,3,clued
bébé,3,clued
satin,3,clued
sport,3,clued
vih,3,UNCLUED
abaisser,3,clued
surnom,3,clued
repère,3,clued
outil,3,clued
pâtis,3,clued
définir,3,UNCLUED
fixer,3,UNCLUED
soit,3,clued
artisan,3,clued
épargner,3,clued
trot,3,clued
attiédir,3,UNCLUED
résonner,3,UNCLUED
arrière,3,clued
couler,3,UNCLUED
sono,3,UNCLUED
épanouir,3,clued
génois,3,clued
hôte,3,UNCLUED
encas,3,UNCLUED
nuage,3,UNCLUED
bleuir,3,clued
soul,3,clued
parole,3,clued
énumérer,3,clued
corse,3,clued
bêta,3,clued
fanatiser,3,UNCLUED
végéter,3,UNCLUED
répudier,3,UNCLUED
cornu,3,clued
latin,3,clued
patte,3,clued
mimer,3,clued
lacet,3,clued
bêtise,3,UNCLUED
talus,3,clued
dictée,3,clued
fait,3,clued
louer,3,clued
jésus,3,clued
palpe,3,UNCLUED
veiller,3,UNCLUED
artériel,3,UNCLUED
studio,3,clued
celte,3,UNCLUED
merde,3,clued
branle,3,UNCLUED
sauvé,3,UNCLUED
amender,3,clued
retardé,3,clued
fmi,3,UNCLUED
visée,3,clued
cinéma,3,clued
cornée,3,clued
féerie,3,clued
fou,3,clued
honte,3,clued
replier,3,UNCLUED
axial,3,clued
simuler,3,clued
exact,3,clued
alarmer,3,UNCLUED
ivoire,3,clued
libérer,3,clued
rotor,3,UNCLUED
alourdir,3,UNCLUED
ananas,3,clued
cage,3,clued
taxer,3,clued
expo,3,UNCLUED
revers,3,clued
dune,3,clued
trial,3,UNCLUED
alfa,3,UNCLUED
trias,3,clued
levier,3,clued
algo,3,UNCLUED
acidité,3,UNCLUED
glapir,3,clued
saison,3,clued
môme,3,UNCLUED
ovale,3,clued
livret,3,clued
tierce,3,UNCLUED
signer,3,UNCLUED
détruire,3,clued
ascèse,3,clued
gens,3,clued
moisi,3,clued
degré,3,clued
aplatir,3,UNCLUED
bore,3,clued
écurie,3,clued
héron,3,clued
usurper,3,clued
approprier,3,clued
culée,3,UNCLUED
virée,3,clued
rouage,3,clued
renouveler,3,UNCLUED
ruisseler,3,UNCLUED
purger,3,clued
norme,3,clued
avertir,3,clued
empire,3,clued
déci,3,UNCLUED
ordre,3,clued
frais,3,clued
colon,3,clued
emmener,3,clued
apôtre,3,clued
crever,3,clued
salle,3,clued
tante,3,clued
déverser,3,UNCLUED
parure,3,clued
genou,3,clued
lune,3,clued
panier,3,clued
réalité,3,clued
égide,3,clued
drôle,3,clued
accentuer,3,clued
giron,3,clued
soupe,3,clued
ressortir,3,UNCLUED
prédire,3,clued
sourd,3,UNCLUED
soirée,3,clued
pmu,3,UNCLUED
admirer,3,clued
remédier,3,clued
dent,3,clued
femme,3,clued
séduire,3,clued
rebâtir,3,clued
joue,3,clued
dérober,3,clued
boîte,3,clued
sitin,3,UNCLUED
rendu,3,clued
routier,3,UNCLUED
haranguer,3,UNCLUED
alarme,3,clued
zeus,3,clued
flan,3,clued
rôde,3,clued
ratifier,3,clued
azote,3,clued
perle,3,UNCLUED
austère,3,clued
encens,3,clued
extra,3,clued
régénérer,3,clued
hall,3,clued
aigre,3,UNCLUED
comte,3,clued
pieu,3,clued
rôle,3,clued
colorer,3,UNCLUED
prince,3,clued
tolérer,3,clued
jouer,3,clued
nature,3,clued
exclu,3,clued
amande,3,UNCLUED
déduire,3,clued
édifier,3,clued
hâte,3,UNCLUED
crève,3,clued
dièse,3,UNCLUED
essuyer,3,clued
social,3,UNCLUED
pipe,3,UNCLUED
avorter,3,clued
atout,3,clued
classer,3,clued
savane,3,clued
ange,3,clued
enfer,3,clued
crème,3,clued
docu,3,UNCLUED
éveil,3,clued
firme,3,clued
terreur,3,clued
remise,3,UNCLUED
gerbe,3,clued
derme,3,clued
atome,3,clued
theta,3,UNCLUED
clef,3,clued
marcher,3,clued
mica,3,clued
piller,3,clued
clip,3,clued
ethnie,3,clued
clic,3,clued
hêtre,3,clued
anus,3,clued
baril,3,clued
rivage,3,UNCLUED
promouvoir,3,clued
aspect,3,clued
ignorer,3,clued
indu,3,clued
yuan,3,clued
utiliser,3,clued
acoup,3,UNCLUED
infini,3,clued
ivg,3,UNCLUED
regarnir,3,UNCLUED
enclin,3,clued
brio,3,UNCLUED
ménager,3,clued
roman,3,clued
règne,3,clued
entériner,3,clued
bain,3,UNCLUED
round,3,UNCLUED
sérieux,3,clued
mardi,3,clued
phrase,3,clued
banc,3,UNCLUED
fouler,3,clued
curé,3,clued
radar,3,clued
laiton,3,clued
athée,3,clued
percée,3,UNCLUED
fumer,3,clued
oncle,3,clued
soucier,3,clued
élargir,3,clued
mûrier,3,UNCLUED
aliter,3,clued
rompu,3,UNCLUED
math,3,UNCLUED
losc,3,UNCLUED
trouée,3,clued
loup,3,clued
offrir,3,clued
archet,2,UNCLUED
siècle,2,clued
demeurer,2,clued
médiastinal,2,UNCLUED
guerre,2,clued
hardi,2,clued
lèvre,2,UNCLUED
écueil,2,clued
carnassier,2,UNCLUED
clarté,2,UNCLUED
malle,2,clued
stationner,2,UNCLUED
action,2,clued
flûte,2,clued
faute,2,clued
réacteur,2,clued
fureur,2,clued
envisager,2,clued
espion,2,clued
quitter,2,clued
prospecter,2,UNCLUED
statuer,2,clued
centraliser,2,UNCLUED
avoué,2,UNCLUED
accélérer,2,clued
paramédical,2,UNCLUED
idéaliser,2,UNCLUED
topo,2,UNCLUED
filet,2,UNCLUED
détester,2,clued
filer,2,clued
frisson,2,UNCLUED
espace,2,clued
arpent,2,clued
